location,new_cases_per_million,new_deaths_per_million,new_cases,new_deaths
Albania,174.091,0.695,501,2
Albania,182.431,4.17,525,12
Albania,195.636,2.78,563,8
Albania,176.176,3.822,507,11
Albania,142.47,2.78,410,8
Albania,170.269,2.432,490,7
Albania,184.863,2.432,532,7
Austria,666.859,1.888,6006,17
Austria,633.327,5.33,5704,48
Austria,426.252,3.886,3839,35
Austria,1070.683,6.107,9643,55
Austria,1151.181,4.108,10368,37
Austria,995.07,7.106,8962,64
Austria,798.543,6.107,7192,55
Belarus,105.404,0.317,996,3
Belarus,104.029,0.423,983,4
Belarus,109.849,0.529,1038,5
Belarus,111.86,0.635,1057,6
Belarus,116.199,0.529,1098,5
Belarus,123.501,0.635,1167,6
Belarus,132.073,0.635,1248,6
Belgium,124.853,18.033,1447,209
Belgium,736.09,16.48,8531,191
Belgium,652.826,17.688,7566,205
Belgium,167.564,16.653,1942,193
Belgium,548.249,13.978,6354,162
Belgium,474.045,13.978,5494,162
Belgium,181.628,11.993,2105,139
Bosnia and Herzegovina,369.116,6.096,1211,20
Bosnia and Herzegovina,303.583,22.251,996,73
Bosnia and Herzegovina,489.208,14.021,1605,46
Bosnia and Herzegovina,469.7,21.946,1541,72
Bosnia and Herzegovina,526.698,14.935,1728,49
Bosnia and Herzegovina,405.997,17.679,1332,58
Bosnia and Herzegovina,388.623,14.935,1275,49
Bulgaria,97.144,4.749,675,33
Bulgaria,549.188,15.255,3816,106
Bulgaria,631.796,11.513,4390,80
Bulgaria,567.753,6.764,3945,47
Bulgaria,491.333,10.362,3414,72
Bulgaria,606.179,12.233,4212,85
Bulgaria,359.505,5.181,2498,36
Croatia,619.448,10.231,2543,42
Croatia,372.448,9.256,1529,38
Croatia,357.346,8.038,1467,33
Croatia,632.602,6.821,2597,28
Croatia,750.743,7.795,3082,32
Croatia,744.409,10.474,3056,43
Croatia,698.127,9.256,2866,38
Cyprus,132.435,0,116,0
Cyprus,126.727,0,111,0
Cyprus,226.053,2.283,198,2
Cyprus,188.378,3.425,165,3
Cyprus,211.212,2.283,185,2
Cyprus,236.329,4.567,207,4
Cyprus,226.053,1.142,198,1
Czech Republic,336.913,16.528,3608,177
Czech Republic,564.666,20.17,6047,216
Czech Republic,840.883,23.252,9005,249
Czech Republic,833.413,23.065,8925,247
Czech Republic,734.897,17.275,7870,185
Czech Republic,686.807,15.968,7355,171
Czech Republic,392.101,12.326,4199,132
Denmark,153.827,0.518,891,3
Denmark,133.11,0.691,771,4
Denmark,184.041,0.518,1066,3
Denmark,171.61,0.518,994,3
Denmark,174.545,0.345,1011,2
Denmark,179.034,0.173,1037,1
Denmark,186.112,0.173,1078,1
Estonia,144.738,1.508,192,2
Estonia,94.23,0.754,125,1
Estonia,94.984,0,126,0
Estonia,99.507,0,132,0
Estonia,281.183,0,373,0
Estonia,201.276,3.015,267,4
Estonia,0,0,0,0
Faeroe Islands,40.929,0,2,0
Faeroe Islands,0,0,0,0
Faeroe Islands,0,0,0,0
Faeroe Islands,0,0,0,0
Faeroe Islands,0,0,0,0
Faeroe Islands,0,0,0,0
Faeroe Islands,0,0,0,0
Finland,74.359,0,412,0
Finland,16.243,0.18,90,1
Finland,39.706,0,220,0
Finland,42.955,0.361,238,2
Finland,35.555,0,197,0
Finland,57.032,0.722,316,4
Finland,44.038,0,244,0
France,591.649,4.136,38619,270
France,308.778,8.395,20155,548
France,339.801,18.691,22180,1220
France,549.672,5.025,35879,328
France,508.2,6.511,33172,425
France,364.528,14.278,23794,932
France,491.7,5.423,32095,354
Germany,159.494,0.752,13363,63
Germany,182.994,1.838,15332,154
Germany,220.651,3.115,18487,261
Germany,260.981,2.566,21866,215
Germany,280.985,2.602,23542,218
Germany,268.082,2.125,22461,178
Germany,202.27,1.277,16947,107
Greece,181.233,3.358,1889,35
Greece,142.856,3.934,1489,41
Greece,228.628,3.934,2383,41
Greece,263.934,4.125,2751,43
Greece,318.141,4.797,3316,50
Greece,291.469,3.646,3038,38
Greece,271.993,3.646,2835,38
Hungary,534.349,5.693,5162,55
Hungary,428.556,10.662,4140,103
Hungary,408.37,10.455,3945,101
Hungary,406.507,9.006,3927,87
Hungary,527.621,10.248,5097,99
Hungary,500.603,11.076,4836,107
Hungary,438.7,11.076,4238,107
Iceland,43.956,5.861,15,2
Iceland,67.399,8.791,23,3
Iceland,38.095,2.93,13,1
Iceland,82.051,0,28,0
Iceland,52.747,2.93,18,1
Iceland,29.304,0,10,0
Iceland,46.886,0,16,0
Ireland,109.158,0.405,539,2
Ireland,53.668,0.203,265,1
Ireland,46.579,3.038,230,15
Ireland,72.502,0.405,358,2
Ireland,77.97,0,385,0
Ireland,94.577,1.418,467,7
Ireland,86.476,1.215,427,6
Isle of Man,0,11.76,0,1
Isle of Man,0,0,0,0
Isle of Man,23.521,0,2,0
Isle of Man,23.521,0,2,0
Isle of Man,23.521,0,2,0
Isle of Man,0,0,0,0
Isle of Man,0,0,0,0
Italy,539.415,5.475,32614,331
Italy,417.933,5.888,25269,356
Italy,580.366,9.593,35090,580
Italy,545.154,10.304,32961,623
Italy,628.115,10.519,37977,636
Italy,676.493,9.097,40902,550
Italy,616.075,8.997,37249,544
Kosovo,377.695,5.691,730,11
Kosovo,329.578,6.726,637,13
Kosovo,308.365,2.587,596,5
Kosovo,379.248,2.07,733,4
Kosovo,396.839,3.622,767,7
Kosovo,498.248,7.243,963,14
Kosovo,395.804,5.691,765,11
Latvia,113.986,1.59,215,3
Latvia,48.775,1.06,92,2
Latvia,110.275,1.06,208,2
Latvia,240.165,0,453,0
Latvia,282.578,2.121,533,4
Latvia,241.225,4.771,455,9
Latvia,209.416,2.651,395,5
Liechtenstein,603.089,0,23,0
Liechtenstein,760.416,0,29,0
Liechtenstein,1179.956,26.221,45,1
Liechtenstein,839.08,0,32,0
